City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
203,Saint George,US,37.1,-113.58,96.01,18,1,21.92,clear sky,0.0,0.0
204,Green River,US,41.53,-109.47,73.4,25,1,28.86,clear sky,0.0,0.0
205,Krasnoselkup,RU,65.7,82.47,62.83,88,94,13.11,overcast clouds,0.0,0.0
206,Kapustin Yar,RU,48.58,45.74,75.67,42,4,6.67,clear sky,0.0,0.0
207,Raudeberg,NO,61.99,5.14,59.0,89,100,3.0,light rain,0.18,0.0
208,Isangel,VU,-19.55,169.27,69.76,81,51,12.01,broken clouds,0.0,0.0
209,Kiunga,PG,-6.12,141.29,73.65,98,91,1.45,light rain,0.53,0.0
210,Pevek,RU,69.7,170.31,31.96,99,100,17.52,light rain,0.41,0.0
211,Mogadishu,SO,2.04,45.34,78.64,88,90,16.02,overcast clouds,0.0,0.0
212,Alice Springs,AU,-23.7,133.88,37.4,55,0,4.7,clear sky,0.0,0.0
213,Marsa Matruh,EG,31.35,27.25,74.89,74,0,7.52,clear sky,0.0,0.0
214,Cabo San Lucas,MX,22.89,-109.91,82.99,61,90,8.05,overcast clouds,0.0,0.0
215,Khandyga,RU,62.67,135.6,62.01,69,5,2.08,clear sky,0.0,0.0
216,Kloulklubed,PW,7.04,134.26,75.2,94,75,3.36,broken clouds,0.0,0.0
217,Nikolskoye,RU,59.7,30.79,66.2,42,0,8.95,clear sky,0.0,0.0
218,Geraldton,AU,-28.77,114.6,66.2,63,75,21.92,broken clouds,0.0,0.0
219,Bengkulu,ID,-3.8,102.27,77.34,86,31,4.85,scattered clouds,0.0,0.0
220,Fianarantsoa,MG,-21.43,47.08,54.34,90,0,0.54,clear sky,0.0,0.0
221,Nago,JP,26.59,127.98,82.4,88,75,11.41,broken clouds,0.0,0.0
222,Hun,LY,29.13,15.95,92.05,16,0,11.48,clear sky,0.0,0.0
223,Sobolevo,RU,54.43,31.9,65.64,86,96,3.74,overcast clouds,0.0,0.0
224,Muswellbrook,AU,-32.27,150.9,42.01,80,23,0.96,few clouds,0.0,0.0
225,Sal Rei,CV,16.18,-22.92,82.4,61,75,17.22,broken clouds,0.0,0.0
